date,gross_margin,operating_margin,net_margin,op_margin_change,de_ratio,current_ratio,ticker
2021-08-31,,,,,,,COST
2022-08-31,0.12148717361227385,0.03433735470624003,0.025749711395260715,,0.43789361495979073,1.0218138633664604,COST
2023-08-31,0.12259688802674482,0.033488794419910026,0.025968880267448098,-0.0008485602863300065,0.354537473062495,1.0683679242473871,COST
2024-08-31,0.1261333134213391,0.036490039417888566,0.028952301603832536,0.0030012449979785402,0.3458216916433833,0.965655312429506,COST
2025-08-31,0.12843206714262356,0.03772412665540356,0.029425763438516175,0.0012340872375149955,0.2802427650528048,1.0342783227336423,COST
2022-01-31,,,,,,,WMT
2023-01-31,0.24140463839525986,0.03341790871420883,0.01910716535059522,,0.7682969762559816,0.8205709451398078,WMT
2024-01-31,0.24375390549662487,0.0416771456123433,0.023932111861137896,0.008259236898134473,0.731221902910769,0.8318671211383434,WMT
2025-01-31,0.24851061330278934,0.04309639713062696,0.028541010448100913,0.0014192515182836624,0.6604990495863229,0.8226828460200447,WMT
2022-01-31,,,,,,,TGT
2023-01-31,0.24572947214076246,0.03526392961876833,0.025476539589442817,,1.6980947293447293,0.9151794871794872,TGT
2024-01-31,0.2754254645663427,0.05313186608572599,0.03852455963951886,0.01786793646695766,1.4626265634306135,0.9064442602569416,TGT
2025-01-31,0.28211624720830286,0.052230542574554735,0.03838935495373759,-0.0009013235111712536,1.3551752352379653,0.9353334294918025,TGT
2022-01-31,,,,,,,LOW
2023-01-31,0.33234424422258624,0.10466829454249477,0.06632048547790519,,-2.665497404237407,1.098969811900979,LOW
2024-01-31,0.3339314863910532,0.1337971913819651,0.08944510691503525,0.029128896839470342,-2.667441860465116,1.225012846865365,LOW
2025-01-31,0.33316203360661617,0.12508067022014008,0.08314410689102947,-0.00871652116182503,-2.7881385707258803,1.0853548008743403,LOW
