date,vix_avg,rate_10y
2020-01-31,,
2020-02-29,13.94095238095238,1.76
2020-03-31,19.628947368421052,1.5
2020-04-30,57.73681818181819,0.87
2020-05-31,41.453809523809525,0.66
2020-06-30,30.897000000000002,0.67
2020-07-31,31.119545454545456,0.73
2020-08-31,26.840454545454545,0.62
2020-09-30,22.88952380952381,0.65
2020-10-31,27.64761904761905,0.68
2020-11-30,29.438636363636363,0.79
2020-12-31,24.9955,0.87
2021-01-31,22.37409090909091,0.93
2021-02-28,24.91,1.08
2021-03-31,23.140526315789476,1.26
2021-04-30,21.84304347826087,1.61
2021-05-31,17.416190476190476,1.64
2021-06-30,19.7605,1.62
2021-07-31,16.956818181818182,1.52
2021-08-31,17.603333333333335,1.32
2021-09-30,17.472727272727273,1.28
2021-10-31,19.824761904761903,1.37
2021-11-30,17.871428571428574,1.58
2021-12-31,18.50047619047619,1.56
2022-01-31,21.354545454545455,1.47
2022-02-28,23.181,1.76
2022-03-31,25.748421052631578,1.93
2022-04-30,26.968695652173913,2.13
2022-05-31,24.3735,2.75
2022-06-30,29.313636363636363,2.9
2022-07-31,28.23318181818182,3.14
2022-08-31,24.995238095238093,2.9
2022-09-30,22.169565217391302,2.9
2022-10-31,27.34181818181818,3.52
2022-11-30,30.005714285714287,3.98
2022-12-31,23.29909090909091,3.89
2023-01-31,21.784285714285716,3.62
2023-02-28,20.16904761904762,3.53
2023-03-31,20.1205,3.75
2023-04-30,21.644347826086957,3.66
2023-05-31,17.817894736842106,3.46
2023-06-30,17.63608695652174,3.57
2023-07-31,14.003181818181817,3.75
2023-08-31,13.932380952380951,3.9
2023-09-30,15.85391304347826,4.17
2023-10-31,15.173333333333332,4.38
2023-11-30,18.887727272727272,4.8
2023-12-31,14.01909090909091,4.5
2024-01-31,12.7185,4.02
2024-02-29,13.388636363636364,4.06
2024-03-31,13.980476190476189,4.21
2024-04-30,13.7875,4.21
2024-05-31,16.137727272727275,4.54
2024-06-30,13.058695652173913,4.48
2024-07-31,12.667,4.31
2024-08-31,14.373913043478263,4.25
2024-09-30,19.312272727272727,3.87
2024-10-31,17.663333333333334,3.72
2024-11-30,19.960869565217394,4.1
2024-12-31,16.015238095238097,4.36
2025-01-31,15.866190476190477,4.39
2025-02-28,16.763636363636365,4.63
2025-03-31,16.968,4.45
2025-04-30,21.841428571428573,4.28
2025-05-31,31.966190476190473,4.28
2025-06-30,20.46227272727273,4.42
2025-07-31,18.403333333333336,4.38
2025-08-31,16.381304347826084,4.39
2025-09-30,15.75,4.26
2025-10-31,15.789090909090909,4.12
2025-11-30,18.086521739130436,4.06
2025-12-31,19.7695,4.09
