date,ticker,monthly_return,target
2020-02-29,COST,-0.07785844023394106,0
2020-02-29,LOW,-0.08318973923399442,0
2020-02-29,TGT,-0.06460033416905508,0
2020-02-29,WMT,-0.059480678697956035,0
2020-03-31,COST,0.014192118107959617,1
2020-03-31,LOW,-0.19254974231298372,0
2020-03-31,TGT,-0.0973783343137199,0
2020-03-31,WMT,0.05983179557734464,1
2020-04-30,COST,0.06510130276069681,1
2020-04-30,LOW,0.22439466960232135,1
2020-04-30,TGT,0.18038052284209516,1
2020-04-30,WMT,0.06979410439051081,1
2020-05-31,COST,0.018052375337400894,1
2020-05-31,LOW,0.2443914646534957,1
2020-05-31,TGT,0.1206334371321438,1
2020-05-31,WMT,0.025139715910385885,1
2020-06-30,COST,-0.01705173691840156,0
2020-06-30,LOW,0.03659356515644818,1
2020-06-30,TGT,-0.019619054436342376,0
2020-06-30,WMT,-0.03449971883113512,0
2020-07-31,COST,0.07592201864868797,1
2020-07-31,LOW,0.10627987793267257,1
2020-07-31,TGT,0.0496121612222018,1
2020-07-31,WMT,0.08031430231682757,1
2020-08-31,COST,0.06798140762801386,1
2020-08-31,LOW,0.10597012271855388,1
2020-08-31,TGT,0.20716142921939773,1
2020-08-31,WMT,0.07744040637513416,1
2020-09-30,COST,0.02111245927760841,1
2020-09-30,LOW,0.0071043705404425506,1
2020-09-30,TGT,0.04106887890914823,1
2020-09-30,WMT,0.007634370013649638,1
2020-10-31,COST,0.009316118007591356,1
2020-10-31,LOW,-0.04350953889010323,0
2020-10-31,TGT,-0.033032907857659666,0
2020-10-31,WMT,-0.008291213384700513,0
2020-11-30,COST,0.09549221083615467,1
2020-11-30,LOW,-0.014421314936679974,0
2020-11-30,TGT,0.1842867711920868,1
2020-11-30,WMT,0.10118910320778718,1
2020-12-31,COST,-0.013070340556751714,0
2020-12-31,LOW,0.030098859940526745,1
2020-12-31,TGT,-0.016710493945167215,0
2020-12-31,WMT,-0.053099415713893094,0
2021-01-31,COST,-0.06462673028481236,0
2021-01-31,LOW,0.04315217505103908,1
2021-01-31,TGT,0.02628489888613883,1
2021-01-31,WMT,-0.02539021340115344,0
2021-02-28,COST,-0.058951910239877,0
2021-02-28,LOW,-0.04255330466651441,0
2021-02-28,TGT,0.01613909109659417,1
2021-02-28,WMT,-0.07523684250530349,0
2021-03-31,COST,0.0648946127187715,1
2021-03-31,LOW,0.1904850906440163,1
2021-03-31,TGT,0.07975327157106116,1
2021-03-31,WMT,0.04985499814502292,1
2021-04-30,COST,0.05789522826139737,1
2021-04-30,LOW,0.03496084476960504,1
2021-04-30,TGT,0.04639795001714586,1
2021-04-30,WMT,0.03003746865988388,1
2021-05-31,COST,0.01660901538409676,1
2021-05-31,LOW,-0.007235475088976928,0
2021-05-31,TGT,0.09841292599884222,1
2021-05-31,WMT,0.019139298966247775,1
2021-06-30,COST,0.04599893709742564,1
2021-06-30,LOW,-0.004414146109367412,0
2021-06-30,TGT,0.06530950457873619,1
2021-06-30,WMT,-0.00711131638645901,0
2021-07-31,COST,0.08809215419394945,1
2021-07-31,LOW,-0.002461751140966917,0
2021-07-31,TGT,0.07987925050209221,1
2021-07-31,WMT,0.010849739878718845,1
2021-08-31,COST,0.059969447544757415,1
2021-08-31,LOW,0.058124519307144684,1
2021-08-31,TGT,-0.050650771218774815,0
2021-08-31,WMT,0.04275669067775012,1
2021-09-30,COST,-0.013480076272608721,0
2021-09-30,LOW,-0.005051975843744505,0
2021-09-30,TGT,-0.07373060536183096,0
2021-09-30,WMT,-0.058879086519540214,0
2021-10-31,COST,0.09566076190805539,1
2021-10-31,LOW,0.15679123817598506,1
2021-10-31,TGT,0.13485142163411834,1
2021-10-31,WMT,0.0720332223363398,1
2021-11-30,COST,0.09732688445656668,1
2021-11-30,LOW,0.04606068249831097,1
2021-11-30,TGT,-0.0575721461333043,0
2021-11-30,WMT,-0.0588274500985162,0
2021-12-31,COST,0.052504732969480994,1
2021-12-31,LOW,0.056789228849822404,1
2021-12-31,TGT,-0.05085332147106891,0
2021-12-31,WMT,0.033012520241483934,1
2022-01-31,COST,-0.1102166443945527,0
2022-01-31,LOW,-0.07871905245580257,0
2022-01-31,TGT,-0.047571601738110814,0
2022-01-31,WMT,-0.033727080780630025,0
2022-02-28,COST,0.029511085074759302,1
2022-02-28,LOW,-0.06863294648309226,0
2022-02-28,TGT,-0.08979817624746989,0
2022-02-28,WMT,-0.03325937579259508,0
2022-03-31,COST,0.10900355042977994,1
2022-03-31,LOW,-0.08536125513031045,0
2022-03-31,TGT,0.0623215478587833,1
2022-03-31,WMT,0.10606656125338887,1
2022-04-30,COST,-0.07513239234597613,0
2022-04-30,LOW,-0.018101797692391397,0
2022-04-30,TGT,0.07741970965918399,1
2022-04-30,WMT,0.02733008374082546,1
2022-05-31,COST,-0.12318508109089088,0
2022-05-31,LOW,-0.012289399760569975,0
2022-05-31,TGT,-0.28910029184806374,0
2022-05-31,WMT,-0.15616991955601667,0
2022-06-30,COST,0.028012639311191023,1
2022-06-30,LOW,-0.10563237775734446,0
2022-06-30,TGT,-0.12756353294133405,0
2022-06-30,WMT,-0.05480821455254037,0
2022-07-31,COST,0.13135174483625267,1
2022-07-31,LOW,0.10275713599984027,1
2022-07-31,TGT,0.1568364689359072,1
2022-07-31,WMT,0.08611604133265405,1
2022-08-31,COST,-0.035470156787678175,0
2022-08-31,LOW,0.013626963351120569,1
2022-08-31,TGT,-0.012455907108820052,0
2022-08-31,WMT,0.00815832367780045,1
2022-09-30,COST,-0.0954416686334072,0
2022-09-30,LOW,-0.032605246587948944,0
2022-09-30,TGT,-0.07452906265826253,0
2022-09-30,WMT,-0.02150138100981125,0
2022-10-31,COST,0.06380976637794955,1
2022-10-31,LOW,0.0436630362217576,1
2022-10-31,TGT,0.1068805601943883,1
2022-10-31,WMT,0.09737863296534877,1
2022-11-30,COST,0.07527424045086817,1
2022-11-30,LOW,0.09027968453258017,1
2022-11-30,TGT,0.023549020921038943,1
2022-11-30,WMT,0.07089143007276877,1
2022-12-31,COST,-0.1534539490776211,0
2022-12-31,LOW,-0.06262046620824335,0
2022-12-31,TGT,-0.10791865855758942,0
2022-12-31,WMT,-0.06623463411275343,0
2023-01-31,COST,0.11969327515400408,1
2023-01-31,LOW,0.05060002904571115,1
2023-01-31,TGT,0.15499173604376248,1
2023-01-31,WMT,0.014669576320831101,1
2023-02-28,COST,-0.05109592037951438,0
2023-02-28,LOW,-0.012004826920103295,0
2023-02-28,TGT,-0.015007842216706702,0
2023-02-28,WMT,-0.012094236193036512,0
2023-03-31,COST,0.026209184673239516,1
2023-03-31,LOW,-0.02809226650047969,0
2023-03-31,TGT,-0.017032458450515597,0
2023-03-31,WMT,0.04168266186153846,1
2023-04-30,COST,0.012779914871360987,1
2023-04-30,LOW,0.044502658684987706,1
2023-04-30,TGT,-0.04757594190004044,0
2023-04-30,WMT,0.023872409679373208,1
2023-05-31,COST,0.018693767013669982,1
2023-05-31,LOW,-0.0322379815670516,0
2023-05-31,TGT,-0.16439572064685826,0
2023-05-31,WMT,-0.023462068963352567,0
2023-06-30,COST,0.05242792634264548,1
2023-06-30,LOW,0.12215981957847633,1
2023-06-30,TGT,0.0074086818664826914,1
2023-06-30,WMT,0.07019799521080539,1
2023-07-31,COST,0.04140206529581203,1
2023-07-31,LOW,0.042873208361024595,1
2023-07-31,TGT,0.034647353689977844,1
2023-07-31,WMT,0.017050587443838472,1
2023-08-31,COST,-0.01846395106693166,0
2023-08-31,LOW,-0.016177891824328938,0
2023-08-31,TGT,-0.06474068097033225,0
2023-08-31,WMT,0.020818685509587764,1
2023-09-30,COST,0.028546374659985885,1
2023-09-30,LOW,-0.09822992395961261,0
2023-09-30,TGT,-0.1262741394039456,0
2023-09-30,WMT,-0.01648119753962629,0
2023-10-31,COST,-0.02216068841454788,0
2023-10-31,LOW,-0.07770710341357334,0
2023-10-31,TGT,0.0019896532579275483,1
2023-10-31,WMT,0.021759614891823986,1
2023-11-30,COST,0.07491809375793346,1
2023-11-30,LOW,0.043343611838349894,1
2023-11-30,TGT,0.2202904041587086,1
2023-11-30,WMT,-0.047243176522944075,0
2023-12-31,COST,0.13893196286128506,1
2023-12-31,LOW,0.11929795124803011,1
2023-12-31,TGT,0.06434501969261497,1
2023-12-31,WMT,0.01634995457485733,1
2024-01-31,COST,0.05272089673860125,1
2024-01-31,LOW,-0.03882180498359744,0
2024-01-31,TGT,-0.023451833634773545,0
2024-01-31,WMT,0.04820796224565016,1
2024-02-29,COST,0.07210370260886623,1
2024-02-29,LOW,0.13075552655823963,1
2024-02-29,TGT,0.10765489808815798,1
2024-02-29,WMT,0.0640243666828435,1
2024-03-31,COST,-0.015136688494366557,0
2024-03-31,LOW,0.058420288124394704,1
2024-03-31,TGT,0.15884144426190994,1
2024-03-31,WMT,0.030112869286945676,1
2024-04-30,COST,-0.011697215117631998,0
2024-04-30,LOW,-0.10069564088568428,0
2024-04-30,TGT,-0.09158623642147845,0
2024-04-30,WMT,-0.013627968951302805,0
2024-05-31,COST,0.1203348424372146,1
2024-05-31,LOW,-0.029387345441299395,0
2024-05-31,TGT,-0.023264178801127744,0
2024-05-31,WMT,0.11183861576824272,1
2024-06-30,COST,0.04951301671159869,1
2024-06-30,LOW,-0.003750738077438198,0
2024-06-30,TGT,-0.051997901779951006,0
2024-06-30,WMT,0.029653103795418412,1
2024-07-31,COST,-0.03155313558469486,0
2024-07-31,LOW,0.1190261245824924,1
2024-07-31,TGT,0.016009178118715273,1
2024-07-31,WMT,0.013735181952465592,1
2024-08-31,COST,0.08562044182388706,1
2024-08-31,LOW,0.012178731735867476,1
2024-08-31,TGT,0.029329221799096805,1
2024-08-31,WMT,0.12835288575901393,1
2024-09-30,COST,-0.0065666423475563285,0
2024-09-30,LOW,0.08993951616724694,1
2024-09-30,TGT,0.014581429309936,1
2024-09-30,WMT,0.045578156138700754,1
2024-10-31,COST,-0.013919656416838122,0
2024-10-31,LOW,-0.029201357658590776,0
2024-10-31,TGT,-0.03734128937954784,0
2024-10-31,WMT,0.014860552341894095,1
2024-11-30,COST,0.113239041299106,1
2024-11-30,LOW,0.04048437681281092,1
2024-11-30,TGT,-0.11179157362586645,0
2024-11-30,WMT,0.128737158712112,1
2024-12-31,COST,-0.05721893739121875,0
2024-12-31,LOW,-0.09407921573470579,0
2024-12-31,TGT,0.02169144282329949,1
2024-12-31,WMT,-0.02107915309081243,0
2025-01-31,COST,0.06942285379563606,1
2025-01-31,LOW,0.05825032931532936,1
2025-01-31,TGT,0.020195482940870813,1
2025-01-31,WMT,0.08644161895416302,1
2025-02-28,COST,0.07132364471331432,1
2025-02-28,LOW,-0.04383941655913104,0
2025-02-28,TGT,-0.09143995594368703,0
2025-02-28,WMT,0.0045843898788333615,1
2025-03-31,COST,-0.0980631580524457,0
2025-03-31,LOW,-0.06197718669265895,0
2025-03-31,TGT,-0.1600127853372194,0
2025-03-31,WMT,-0.10728042550843386,0
2025-04-30,COST,0.05151292566445176,1
2025-04-30,LOW,-0.036402859000391086,0
2025-04-30,TGT,-0.07339979963926502,0
2025-04-30,WMT,0.10775720426555235,1
2025-05-31,COST,0.04729555109769312,1
2025-05-31,LOW,0.009706546978976771,1
2025-05-31,TGT,-0.016703985673198085,0
2025-05-31,WMT,0.01757002969613697,1
2025-06-30,COST,-0.04829943180050511,0
2025-06-30,LOW,-0.017100006214966212,0
2025-06-30,TGT,0.04935645817160639,1
2025-06-30,WMT,-0.009521934634353246,0
2025-07-31,COST,-0.05081114848570967,0
2025-07-31,LOW,0.013021380213540379,1
2025-07-31,TGT,0.018753120222206654,1
2025-07-31,WMT,0.0020453564025286752,1
2025-08-31,COST,0.005307186392834673,1
2025-08-31,LOW,0.1542692595961519,1
2025-08-31,TGT,-0.034617962579601036,0
2025-08-31,WMT,-0.007894355105857231,0
2025-09-30,COST,-0.018752874297062405,0
2025-09-30,LOW,-0.026156676483689356,0
2025-09-30,TGT,-0.06543040761764196,0
2025-09-30,WMT,0.06269327841183281,1
2025-10-31,COST,-0.01392620036875214,0
2025-10-31,LOW,-0.04778635640754014,0
2025-10-31,TGT,0.033667841028106604,1
2025-10-31,WMT,-0.018241770167521598,0
2025-11-30,COST,0.0023479121057152774,1
2025-11-30,LOW,0.01826726725528327,1
2025-11-30,TGT,-0.010329284503396652,0
2025-11-30,WMT,0.09221193872096589,1
2025-12-31,COST,-0.05247427755104117,0
2025-12-31,LOW,0.002886830188393086,1
2025-12-31,TGT,0.07514891785789612,1
2025-12-31,WMT,0.014823479908593562,1
