stage,test_year,n_test,accuracy,ret_weighted,avg_long_return,strategy_cum_ret,bah_cum_ret,n_long_signals
Baseline,2023,48,0.6042,0.756,0.0157,0.8921,0.8921,48
Base,2023,48,0.6458,0.4603,0.0179,0.6804,0.8921,34
Stage1,2023,48,0.5625,0.0922,0.0163,0.4189,0.8921,26
Stage2,2023,48,0.625,0.1899,0.0189,0.4915,0.8921,25
Baseline,2024,48,0.5833,1.1014,0.0229,1.6831,1.6831,48
Base,2024,48,0.625,0.4226,0.0317,1.0281,1.6831,24
Stage1,2024,48,0.5417,-0.4666,0.0265,0.332,1.6831,12
Stage2,2024,48,0.4792,-0.2408,0.0287,0.4805,1.6831,15
Baseline,2025,48,0.5208,-0.0216,-0.0005,-0.1017,-0.1017,48
Base,2025,48,0.3333,-1.0596,-0.0164,-0.4497,-0.1017,33
Stage1,2025,48,0.5,0.2048,0.0023,0.0215,-0.1017,39
Stage2,2025,48,0.5,0.138,0.0015,-0.0162,-0.1017,39
